sequence_id,decision,auto_start_s,auto_second_s,auto_done_s,auto_third_s,manual_start_s,manual_second_s,manual_done_s,manual_third_s,target_object_id,receiving_hand,annotation_confidence,missing_commands,status,next_action,notes
Isa_10_20260730_182750,manual_fix,0.0,7.488,,17.536,,12.098,20.002,21.698,11,left,certain,DONE,partial_timestamps,fix_timestamps,
Isa_11_20260730_182938,manual_fix,0.0,11.52,16.544,21.568,,13.863,21.096,22.771,11,left,certain,,valid_with_warnings,convert_mp4,
Isa_12_20260730_183049,manual_fix,0.0,7.584,,12.608,,10.173,18.273,19.898,9,left,certain,DONE,partial_timestamps,fix_timestamps,
Isa_12_2_20260730_183154,manual_fix,0.0,9.472,14.496,19.52,,10.698,19.171,20.569,6,left,certain,,valid_with_warnings,convert_mp4,
Isa_13_20260730_183253,manual_fix,0.0,10.24,15.264,20.288,,,19.330,22.396,7,left,certain,,valid_with_warnings,convert_mp4,
Isa_14_20260730_183443,manual_fix,0.0,11.552,17.312,22.304,,,20.179,,14,left,certain,,valid_with_warnings,convert_mp4,
Isa_15_20260730_183544,manual_fix,0.0,9.088,15.488,16.736,,,15.871,18.466,9,left,certain,,valid_with_warnings,convert_mp4,
Isa_16_20260730_183636,manual_fix,0.0,5.28,,20.352,,9.546,16.866,,14,left,certain,DONE,partial_timestamps,fix_timestamps,
Isa_17_20260730_183720,manual_fix,0.0,7.2,,17.248,,10.198,17.367,19.113,11,left,certain,DONE,partial_timestamps,fix_timestamps,
Isa_18_20260730_183810,manual_fix,0.0,7.36,12.544,17.568,,,16.464,17.764,7,left,certain,,valid_with_warnings,convert_mp4,
Isa_19_20260730_183917,manual_fix,0.0,10.208,15.392,20.416,,,19.381,,14,right,certain,,valid_with_warnings,convert_mp4,
Isa_1_20260730_181722,manual_fix,0.0,10.048,18.112,22.56,,11.497,20.115,23.598,7,right,certain,,valid_with_warnings,review_or_exclude_sequence,
Isa_20_20260730_184016,exclude,0.0,5.248,15.296,20.32,,9.371,,,,,,,valid_with_warnings,convert_mp4,
Isa_2_20260730_181847,manual_fix,0.0,6.432,,,,11.544,16.644,19.502,14,right,certain,DONE;THIRD,partial_timestamps,fix_timestamps,
Isa_3_20260730_182001,manual_fix,0.0,6.016,,21.088,,9.677,18.440,,12,left,certain,DONE,partial_timestamps,fix_timestamps,
Isa_4_20260730_182053,manual_fix,0.0,10.336,15.36,,,11.606,20.198,21.166,9,left,certain,THIRD,partial_timestamps,fix_timestamps,
Isa_5_20260730_182203,manual_fix,0.0,8.608,,28.736,,10.535,19.398,21.565,6,left,certain,DONE,partial_timestamps,fix_timestamps,
Isa_6_20260730_182331,manual_fix,0.0,10.464,,,,10.798,18.443,20.467,10,left,certain,DONE;THIRD,partial_timestamps,fix_timestamps,
Isa_7_20260730_182452,manual_fix,0.0,5.312,,20.384,,9.899,17.442,19.867,9,left,certain,DONE,partial_timestamps,fix_timestamps,
Isa_8_20260730_182551,,0.0,11.488,18.592,21.344,,,,,12,left,certain,,valid_with_warnings,convert_mp4,
Isa_9_20260730_182655,,0.0,10.176,18.176,20.928,,,,,11,left,certain,,valid_with_warnings,convert_mp4,
Jan_1_20260604_161550,,1.472,20.416,25.568,28.704,,,,,6,right,certain,,valid_with_warnings,annotate_sequence,
Jan_2_20260604_161704,,0.288,22.016,26.784,29.92,,,,,6,right,certain,,valid_with_warnings,annotate_sequence,
Jan_3_20260604_161835,,1.344,23.872,27.424,31.008,,,,,9,right,certain,,valid_with_warnings,annotate_sequence,
Jan_4_20260604_162000,manual_fix,0.832,23.648,,28.096,,,27.434,28.230,11,right,certain,DONE,partial_timestamps,fix_timestamps,
Jan_5_20260604_162111,,0.96,28.48,31.2,33.92,,,,,9,right,certain,,valid_with_warnings,annotate_sequence,
Jola_1_20260624_131133,manual_fix,0.0,33.28,,36.224,0.000,,35.763,37.230,9,right,certain,DONE,missing_hand_tracking,download_or_process_mps,
Jola_2_20260624_131246,manual_fix,,35.36,38.304,39.552,0.000,,,,12,right,certain,START,partial_timestamps,fix_timestamps,
Jola_3_20260624_131435,manual_fix,,33.888,36.608,,0.000,,,37.335,9,right,certain,START;THIRD,partial_timestamps,fix_timestamps,
Jola_4_20260624_131548,exclude,0.0,35.872,37.977,38.803,0.000,,37.977,38.803,11,right,certain,,missing_handover_hand_tracking,review_or_exclude_sequence,
Jola_5_20260624_131818,manual_fix,0.0,38.368,41.152,42.272,0.000,,,,13,right,certain,,valid_with_warnings,annotate_sequence,
Jola_6_20260624_132027,exclude,0.0,37.92,40.263,41.863,0.000,,40.263,41.863,6,right,certain,,missing_handover_hand_tracking,review_or_exclude_sequence,
Jona_1_20260616_181413,,0.608,12.064,16.192,19.552,,,,,12,right,certain,,valid_with_warnings,annotate_sequence,
Jona_2_20260616_181551,,1.312,29.696,35.424,39.52,,,,,6,right,certain,,valid_with_warnings,annotate_sequence,
Jona_3_20260616_181717,,2.112,35.552,40.0,43.552,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Jona_4_20260616_181855,,1.824,26.272,31.968,35.872,,,,,14,right,certain,,valid_with_warnings,annotate_sequence,
Jona_5_20260616_182002,,1.632,28.448,35.296,38.528,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Jona_6_20260616_182111,,1.952,23.328,28.736,32.448,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Jona_7_20260616_182214,,1.76,25.984,31.232,34.944,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Julienco_1_20260624_125251,manual_fix,0.0,20.096,,27.456,0.000,,23.439,,7,right,certain,DONE,partial_timestamps,fix_timestamps,
Julienco_2_20260624_125435,manual_fix,0.0,10.752,15.776,22.144,0.000,,,,8,right,certain,,missing_hand_tracking,download_or_process_mps,
Julienco_3_20260624_125549,manual_fix,0.0,26.848,,,0.000,,29.478,32.746,14,right,certain,DONE;THIRD,missing_hand_tracking,download_or_process_mps,
Julienco_4_20260624_125717,manual_fix,0.0,23.648,26.944,30.112,0.000,,,,9,right,certain,,missing_hand_tracking,download_or_process_mps,
Julienco_4_2_20260624_125830,manual_fix,,15.264,,27.008,0.000,,23.498,,6,right,certain,START;DONE,partial_timestamps,fix_timestamps,
Julienco_5_20260624_125942,manual_fix,0.0,23.072,28.16,,0.000,,,30.061,11,right,certain,THIRD,missing_hand_tracking,download_or_process_mps,
Julienco_6_20260624_130048,manual_fix,0.0,18.72,23.744,27.36,0.000,,,,7,right,certain,,valid_with_warnings,review_or_exclude_sequence,
Julienco_7_20260624_130215,manual_fix,0.0,17.056,20.736,23.072,0.000,,,,13,right,certain,,missing_hand_tracking,download_or_process_mps,
Julienco_8_20260624_130311,manual_fix,0.0,17.152,21.504,24.832,0.000,,,,12,right,certain,,missing_hand_tracking,download_or_process_mps,
Leys_1_20260604_163147,,1.44,16.288,21.184,23.52,,,,,13,right,certain,,valid_with_warnings,annotate_sequence,
Leys_2_20260604_163417,,1.216,15.776,19.616,21.28,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Leys_3_20260604_163535,,1.312,21.408,25.6,26.88,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Leys_4_20260604_163704,,1.664,21.696,25.856,27.296,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Leys_5_20260604_163854,,0.992,20.704,24.064,26.048,,,,,8,right,certain,,valid_with_warnings,annotate_sequence,
Maria_1_20260624_133852,manual_fix,0.0,28.224,31.973,33.056,0.000,,31.973,,11,right,certain,,missing_handover_hand_tracking,review_or_exclude_sequence,
Maria_2_20260624_134005,manual_fix,0.0,21.609,24.23,25.024,0.000,21.609,24.230,,7,right,certain,,missing_handover_hand_tracking,review_or_exclude_sequence,
Maria_3_20260624_134101,manual_fix,0.0,26.336,29.673,33.184,0.000,,29.673,,10,right,certain,,valid_with_warnings,review_or_exclude_sequence,
Maria_4_20260624_134233,manual_fix,,17.408,,,0.000,,23.407,24.263,13,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Maria_5_20260624_134337,manual_fix,,,20.768,32.576,0.000,28.342,30.778,31.564,9,right,certain,START;SECOND,partial_timestamps,fix_timestamps,
Maria_6_20260624_134443,manual_fix,0.0,30.431,34.496,35.642,0.000,30.431,34.496,35.642,8,right,certain,,valid_with_warnings,annotate_sequence,
Melih_10_20260616_180515,,0.8,30.752,36.288,38.112,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Melih_1_20260616_175140,,1.344,16.32,21.184,23.456,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Melih_2_20260616_175310,,1.152,17.92,24.192,26.304,,,,,6,right,certain,,valid_with_warnings,annotate_sequence,
Melih_3_20260616_175418,,1.088,18.848,24.992,26.72,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Melih_4_20260616_175523,,0.864,17.856,23.52,25.472,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Melih_5_20260616_175612,,1.376,18.208,25.152,28.032,,,,,14,right,certain,,valid_with_warnings,annotate_sequence,
Melih_6_20260616_180104,,2.848,20.256,26.496,28.256,,,,,9,right,certain,,valid_with_warnings,annotate_sequence,
Melih_7_20260616_180202,,1.344,22.656,29.408,30.944,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Melih_8_20260616_180307,,1.408,20.704,25.792,28.608,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Melih_9_20260616_180402,,2.176,21.44,28.608,30.88,,,,,10,right,certain,,valid_with_warnings,annotate_sequence,
Miro_1_20260604_153303,accept_auto,3.072,18.304,23.424,25.824,,,,,7,right,certain,,valid_with_warnings,review_or_exclude_sequence,
Miro_2_20260604_153451,accept_auto,2.08,14.88,19.904,22.208,,,,,14,right,certain,,valid_with_warnings,convert_mp4,
Miro_3_20260604_153609,,0.672,13.024,18.496,20.128,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Miro_4_20260604_153734,exclude,0.8,23.552,29.344,31.616,,,,,13,right,certain,,missing_handover_hand_tracking,review_or_exclude_sequence,
Mona_1_20260624_123312,manual_fix,,21.024,25.824,27.008,0.000,,,,13,left,certain,START,partial_timestamps,fix_timestamps,
Mona_2_20260624_123443,manual_fix,,25.632,31.328,33.696,0.000,,,,10,left,certain,START,partial_timestamps,fix_timestamps,
Mona_3_20260624_123548,manual_fix,,27.136,32.608,33.952,0.000,,,,7,left,certain,START,partial_timestamps,fix_timestamps,
Mona_4_20260624_123706,manual_fix,,29.152,34.816,36.8,0.000,,,,8,left,certain,START,partial_timestamps,fix_timestamps,
Mona_5_20260624_123814,manual_fix,,34.752,40.288,41.856,0.000,,,,10,left,certain,START,partial_timestamps,fix_timestamps,
Mona_6_20260624_123930,manual_fix,,34.464,,41.632,0.000,,39.629,,12,left,certain,START;DONE,partial_timestamps,fix_timestamps,
Mona_7_20260624_124051,manual_fix,,33.216,39.296,40.832,0.000,,,,11,left,certain,START,partial_timestamps,fix_timestamps,
Mona_8_20260624_124414,manual_fix,,39.136,47.136,48.288,0.000,42.341,,,12,left,certain,START,partial_timestamps,fix_timestamps,
Paul_10_20260730_200732,manual_fix,0.0,7.264,12.384,18.08,,,15.732,,6,left,certain,,valid_with_warnings,convert_mp4,
Paul_11_20260730_200816,manual_fix,0.0,5.376,15.424,20.448,,9.343,17.733,,7,left,certain,,valid_with_warnings,convert_mp4,
Paul_12_20260730_200900,,0.0,6.368,16.416,19.264,,,,,11,left,certain,,valid_with_warnings,convert_mp4,
Paul_13_20260730_201414,manual_fix,0.0,7.616,12.64,17.248,,,15.402,,6,left,certain,,valid_with_warnings,convert_mp4,
Paul_14_20260730_201501,manual_fix,0.0,5.536,14.272,17.76,,,17.230,19.406,9,left,certain,,valid_with_warnings,convert_mp4,
Paul_15_20260730_201546,manual_fix,0.0,3.904,,22.88,,7.298,18.173,19.864,7,left,certain,DONE,partial_timestamps,fix_timestamps,
Paul_16_20260730_201647,,0.0,7.36,14.752,17.856,,,,,14,left,certain,,valid_with_warnings,convert_mp4,
Paul_17_20260730_201734,manual_fix,0.0,5.12,,,,6.398,14.604,17.104,10,left,certain,DONE;THIRD,partial_timestamps,fix_timestamps,
Paul_18_20260730_201826,,0.0,7.776,17.568,20.608,,,,,11,left,certain,,valid_with_warnings,convert_mp4,
Paul_19_20260730_201912,,0.0,9.792,20.992,23.648,,,,,14,left,certain,,valid_with_warnings,convert_mp4,
Paul_1_20260730_195810,manual_fix,0.0,7.84,12.864,17.888,,10.204,17.465,20.264,10,left,certain,,missing_slam,download_or_process_mps,
Paul_20_20260730_202000,,0.0,5.984,14.4,18.208,,,,,10,right,certain,,valid_with_warnings,convert_mp4,
Paul_21_20260730_202043,manual_fix,0.0,3.744,18.336,19.424,,6.968,,20.632,11,right,certain,,valid_with_warnings,convert_mp4,
Paul_22_20260730_202129,manual_fix,0.0,7.712,12.736,,,,17.966,19.108,7,right,certain,THIRD,partial_timestamps,fix_timestamps,
Paul_23_20260730_202216,manual_fix,0.0,5.504,10.752,15.776,,,13.835,16.732,10,right,certain,,valid_with_warnings,convert_mp4,
Paul_24_20260730_202257,,0.0,10.208,20.192,23.616,,,,,11,right,certain,,valid_with_warnings,convert_mp4,
Paul_25_20260730_202344,manual_fix,0.0,2.272,8.576,17.312,,5.613,13.734,15.965,12,left,certain,,valid_with_warnings,convert_mp4,
Paul_2_20260730_195858,manual_fix,0.0,5.824,,15.968,,9.475,16.965,18.331,14,left,certain,DONE,partial_timestamps,fix_timestamps,
Paul_3_20260730_195956,manual_fix,0.0,4.832,12.96,17.984,,7.897,15.863,17.473,11,left,certain,,valid_with_warnings,convert_mp4,
Paul_4_20260730_200057,manual_fix,0.0,5.696,,20.768,,9.247,17.968,,10,left,certain,DONE,partial_timestamps,fix_timestamps,
Paul_5_20260730_200140,manual_fix,0.0,6.816,11.84,16.864,,10.772,16.631,18.742,7,left,certain,,valid_with_warnings,convert_mp4,
Paul_6_20260730_200221,manual_fix,0.0,6.56,11.584,16.608,,8.635,16.139,18.601,14,left,certain,,valid_with_warnings,convert_mp4,
Paul_7_20260730_200314,manual_fix,0.0,8.768,12.704,17.856,,,16.064,,11,left,certain,,valid_with_warnings,convert_mp4,
Paul_8_20260730_200353,manual_fix,0.0,10.208,,15.232,,,20.932,22.776,7,left,certain,DONE,partial_timestamps,fix_timestamps,
Paul_9_20260730_200546,manual_fix,0.0,3.136,11.648,16.768,,6.934,15.898,19.040,12,left,certain,,valid_with_warnings,convert_mp4,
Suthan_1_20260604_164834,,0.032,31.52,34.208,35.84,,,,,11,right,certain,,valid_with_warnings,annotate_sequence,
Suthan_2_20260604_165031,manual_fix,0.0,26.08,29.6,31.424,0.000,,,,9,right,certain,,valid_with_warnings,annotate_sequence,
Suthan_3_20260604_165324,manual_fix,1.248,27.488,31.164,31.597,,,30.763,31.597,10,right,certain,,valid_with_warnings,manual_review,
Suthan_4_20260604_165434,,1.408,24.992,28.096,29.568,,,,,7,right,certain,,valid_with_warnings,annotate_sequence,
Tarik_10_20260704_142949,manual_fix,,28.8,,,0.000,,33.765,35.730,13,left,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Tarik_11_20260704_143216,manual_fix,,29.44,33.536,,0.000,,,35.468,11,right,certain,START;THIRD,partial_timestamps,fix_timestamps,
Tarik_12_20260704_143334,manual_fix,,21.984,25.888,28.416,0.000,,,,13,left,certain,START,partial_timestamps,fix_timestamps,
Tarik_13_20260704_143446,manual_fix,,23.008,27.776,,0.000,,,29.936,11,left,certain,START;THIRD,partial_timestamps,fix_timestamps,
Tarik_14_20260704_143554,manual_fix,,24.928,29.504,32.512,0.000,,,,7,left,certain,START,partial_timestamps,fix_timestamps,
Tarik_15_20260704_143803,manual_fix,,37.376,,44.128,0.000,,43.040,,10,left,certain,START;DONE,partial_timestamps,fix_timestamps,
Tarik_16_20260704_143930,manual_fix,,21.184,,,0.000,,27.331,28.210,8,left,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Tarik_17_20260704_144050,manual_fix,,24.256,29.216,32.608,0.000,,,,12,left,certain,START,partial_timestamps,fix_timestamps,
Tarik_18_20260704_144512,manual_fix,,28.928,34.592,37.632,0.000,,,,10,left,certain,START,partial_timestamps,fix_timestamps,
Tarik_1_20260704_141845,manual_fix,,32.064,,,0.000,,38.864,40.096,10,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Tarik_20_20260704_145000,manual_fix,,25.92,,,0.000,,32.697,33.995,12,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Tarik_21_20260704_145054,manual_fix,,28.384,,,0.000,,33.472,34.874,9,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Tarik_22_20260704_145150,exclude,,29.568,33.792,,0.000,,,36.232,8,right,certain,START;THIRD,partial_timestamps,fix_timestamps,AprilTag 0 robot anchor fully occluded; robot-relative coordinates unavailable
Tarik_23_20260704_145434,manual_fix,,28.48,33.12,36.352,0.000,,,,14,left,certain,START,partial_timestamps,fix_timestamps,
Tarik_24_20260704_145314,manual_fix,,21.504,25.376,,0.000,,,28.595,14,right,certain,START;THIRD,partial_timestamps,fix_timestamps,
Tarik_2_20260704_142022,manual_fix,,38.464,42.944,45.92,0.000,,,,13,right,certain,START,partial_timestamps,fix_timestamps,
Tarik_3_20260704_142144,manual_fix,,17.92,22.56,25.184,0.000,,,,10,right,certain,START,partial_timestamps,fix_timestamps,
Tarik_4_20260704_142308,manual_fix,,23.872,,,0.000,,29.571,30.628,7,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Tarik_5_20260704_142458,manual_fix,,24.64,,,0.000,,30.396,31.511,7,right,certain,START;DONE;THIRD,partial_timestamps,fix_timestamps,
Tarik_6_20260704_142555,manual_fix,,24.48,28.8,31.52,0.000,,,,10,right,certain,START,partial_timestamps,fix_timestamps,
Tarik_7_20260704_142646,manual_fix,,25.856,,32.992,0.000,,31.294,,8,right,certain,START;DONE,partial_timestamps,fix_timestamps,
Tarik_8_20260704_142759,manual_fix,,29.024,32.768,36.832,0.000,29.365,,,6,right,certain,START,partial_timestamps,fix_timestamps,
Tarik_9_20260704_142856,manual_fix,,26.976,33.728,36.512,0.000,,,,13,right,certain,START,partial_timestamps,fix_timestamps,
Test_1_20260624_122109,exclude,0.0,12.288,,22.88,0.000,17.667,20.967,,12,right,certain,DONE,missing_hand_tracking,download_or_process_mps,
Test_2_20260624_122206,manual_fix,0.0,15.36,24.032,,0.000,15.367,19.032,20.730,6,right,certain,THIRD,missing_hand_tracking,download_or_process_mps,
Test_3_20260522_160036,exclude,,,,,,,,,,,,START;SECOND;DONE;THIRD,missing_vrs,download_vrs,
Test_3_20260624_122314,manual_fix,0.0,12.928,17.696,21.952,0.000,,,,14,right,certain,,missing_hand_tracking,download_or_process_mps,
Test_4_20260527_161832,exclude,15.584,18.144,23.2,,,,,,,,,THIRD,partial_timestamps,fix_timestamps,
Test_4_20260624_122416,manual_fix,0.0,17.856,21.664,25.824,0.000,,,,9,right,certain,,missing_hand_tracking,download_or_process_mps,
