split,participant,sequence_id,target_definition_version,capture_timestamp_basis,status,eligible,reasons,receiving_hand_id,receiving_hand,handover_start_timestamp_ns,handover_end_timestamp_ns,handover_event_start_timestamp_ns,handover_event_end_timestamp_ns,handover_duration_seconds,aggregation_start_timestamp_ns,aggregation_end_timestamp_ns,aggregation_event_start_timestamp_ns,aggregation_event_end_timestamp_ns,aggregation_capture_start_timestamp_ns,aggregation_capture_end_timestamp_ns,target_capture_timestamp_ns,target_capture_aligned_event_timestamp_ns,target_capture_lag_seconds,stable_window_lag_seconds,candidate_rows,candidate_unique_captures,valid_samples,valid_ratio,valid_span_seconds,position_p90_deviation_m,orientation_p90_deviation_deg,target_timestamp_semantics,future_endpoint_policy,future_handover_endpoint_rows,strictly_before_aggregation_handover_endpoint_rows,partially_overlapping_aggregation_handover_endpoint_rows,already_observed_handover_endpoint_rows,overlap_interpretation,target_x_m,target_y_m,target_z_m,target_qx,target_qy,target_qz,target_qw
test,Jona,Jona_2_20260616_181551,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,1903812235000,1907445568000,1903812235000,1907445568000,3.633333,1906845568000,1907345568000,1906845568000,1907345568000,1906870596000.0,1907237260000.0,1907237260000.0,1907245568000.0,0.208308,0.1,15,15,12,0.8,0.366664,0.002983127521271195,1.9249999570438774,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,103.0,92.0,11.0,7.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.13248103857040405,0.2388141006231308,0.07572950422763824,-0.4319661557674408,-0.32458987832069397,0.3729827404022217,0.754274845123291
test,Jona,Jona_3_20260616_181717,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,1994345567000,1997978900000,1994345567000,1997978900000,3.633333,1997312233000,1997812233000,1997312233000,1997812233000,1997337260000.0,1997803926000.0,1997803926000.0,1997812233000.0,0.174974,0.166667,15,15,15,1.0,0.466666,0.048304071459766486,8.143151020971425,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,104.0,90.0,14.0,6.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.10579894483089447,0.2626195251941681,0.07382240146398544,-0.38630977272987366,-0.22903139889240265,0.3942483067512512,0.8017964959144592
test,Jona,Jona_4_20260616_181855,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,2084612233000,2088745566000,2084612233000,2088745566000,4.133333,2088212233000,2088712233000,2088212233000,2088712233000,2088237259000.0,2088603927000.0,2088603927000.0,2088612233000.0,0.141639,0.033333,14,14,12,0.8571428571428571,0.366668,0.004339004358022094,1.555518420155879,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,120.0,109.0,11.0,5.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.10599170625209808,0.2604520320892334,0.07614167034626007,-0.3713161051273346,-0.28786924481391907,0.3997962176799774,0.7870315313339233
test,Jona,Jona_5_20260616_182002,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,2154312232000,2157945565000,2154312232000,2157945565000,3.633333,2157378899000,2157878899000,2157378899000,2157878899000,2157403925000.0,2157770592000.0,2157770592000.0,2157778899000.0,0.174973,0.066666,15,15,12,0.8,0.366667,0.005028723028563914,1.9634157192256148,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,104.0,93.0,11.0,6.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.10978442430496216,0.22429430484771729,0.052105389535427094,-0.38371482491493225,-0.35549306869506836,0.32623669505119324,0.7873736619949341
test,Jona,Jona_6_20260616_182111,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,2216645566000,2220678899000,2216645566000,2220678899000,4.033333,2220145565000,2220645565000,2220145565000,2220645565000,2220173321000.0,2220539886000.0,2220539886000.0,2220545565000.0,0.139013,0.033334,15,15,12,0.8,0.366565,0.006195110364246825,3.5421381452347984,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,117.0,106.0,11.0,5.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.11932498216629028,0.2494836002588272,0.05053223296999931,-0.4245203733444214,-0.34545624256134033,0.3678557276725769,0.7517476677894592
test,Jona,Jona_7_20260616_182214,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,2282112231000,2286012231000,2282112231000,2286012231000,3.9,2285512231000,2286012231000,2285512231000,2286012231000,2285537258000.0,2285903925000.0,2285903925000.0,2285912231000.0,0.108306,0.0,13,13,12,0.9230769230769231,0.366667,0.0030591562586810947,1.546431795871546,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,114.0,103.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.10355327278375626,0.307420015335083,0.056304678320884705,-0.3901456296443939,-0.33225199580192566,0.3680703938007355,0.7758345007896423
test,Mona,Mona_1_20260624_123312,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,rejected,False,insufficient_valid_samples;low_valid_ratio;insufficient_valid_span,0,left,1101169609000,1108736275000,1101169609000,1108736275000,7.566666,1108236275000,1108736275000,1108236275000,1108736275000,,,,,,0.0,13,13,0,0.0,0.0,,,,,,,,,,,,,,,,
test,Mona,Mona_3_20260624_123548,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,1263902942000,1268236275000,1263902942000,1268236275000,4.333333,1267736275000,1268236275000,1267736275000,1268236275000,1267761309000.0,1268127977000.0,1268127977000.0,1268136275000.0,0.108298,0.0,13,13,12,0.9230769230769231,0.366668,0.0013047396548604736,0.7307269423262688,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,127.0,116.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.15562912821769714,0.3765174448490143,0.11220639944076538,-0.32210060954093933,0.4844549000263214,-0.6710684895515442,0.4595886766910553
test,Mona,Mona_4_20260624_123706,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,1344902942000,1348302942000,1344902942000,1348302942000,3.4,1347536275000,1348036275000,1347536275000,1348036275000,1347561310000.0,1348027984000.0,1348027984000.0,1348036275000.0,0.274958,0.266667,15,15,15,1.0,0.466674,0.03079172527234239,5.073841605567093,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,94.0,80.0,14.0,9.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.19429275393486023,0.3646407723426819,0.0990971177816391,-0.30750328302383423,0.47795963287353516,-0.7246209979057312,0.38977012038230896
test,Mona,Mona_5_20260624_123814,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,1417736276000,1420969609000,1417736276000,1420969609000,3.233333,1420469609000,1420969609000,1420469609000,1420969609000,1420494645000.0,1420861309000.0,1420861309000.0,1420869609000.0,0.1083,0.0,12,12,12,1.0,0.366664,0.001765200971069875,0.910066154068984,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,94.0,83.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.16167496144771576,0.3459152579307556,0.09508678317070007,-0.318111389875412,0.5242111682891846,-0.6451778411865234,0.4557996988296509
test,Mona,Mona_6_20260624_123930,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,1493602942000,1497102943000,1493602942000,1497102943000,3.500001,1496602943000,1497102943000,1496602943000,1497102943000,1496627991000.0,1497027978000.0,1497027978000.0,1497036276000.0,0.074965,0.0,13,13,13,1.0,0.399987,0.005683393906427841,1.5622864995933885,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,103.0,91.0,12.0,3.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.1626807004213333,0.3039877414703369,0.07187090069055557,-0.24795839190483093,0.5052233934402466,-0.6919838190078735,0.4521331489086151
test,Mona,Mona_7_20260624_124051,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,1573702942000,1577202943000,1573702942000,1577202943000,3.500001,1576702943000,1577202943000,1576702943000,1577202943000,1576734393000.0,1577100958000.0,1577100958000.0,1577102943000.0,0.101985,0.0,15,15,12,0.8,0.366565,0.001441668964044131,0.3731684522035461,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,102.0,91.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.20264247059822083,0.39580535888671875,0.06407803297042847,-0.29184505343437195,0.5112536549568176,-0.6889139413833618,0.4228992462158203
test,Mona,Mona_8_20260624_124414,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,1784636275000,1788669609000,1784636275000,1788669609000,4.033334,1788169609000,1788669609000,1788169609000,1788669609000,1788194651000.0,1788561311000.0,1788561311000.0,1788569609000.0,0.108298,0.0,13,13,12,0.9230769230769231,0.36666,0.0017253496196190945,0.6591312112058053,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,118.0,107.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.20902583003044128,0.37698930501937866,0.08505769073963165,-0.3361786901950836,0.4745401442050934,-0.6952105760574341,0.42246633768081665
train,Angelina,Angelina_10_20260715_153801,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,2405769609000,2410002943000,2405769609000,2410002943000,4.233334,2409469609000,2409969609000,2409469609000,2409969609000,2409494647000.0,2409861310000.0,2409861310000.0,2409869609000.0,0.141633,0.033334,13,13,12,0.9230769230769231,0.366663,0.0019241048097556421,1.4927267562079056,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,123.0,112.0,11.0,5.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",-0.27718454599380493,0.3533329367637634,0.1298292577266693,-0.5074684023857117,0.36806535720825195,-0.22611534595489502,0.7455706596374512
train,Angelina,Angelina_1_20260715_152929,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,1907902942000,1911936275000,1907902942000,1911936275000,4.033333,1911369609000,1911869609000,1911369609000,1911869609000,1911394656000.0,1911761310000.0,1911761310000.0,1911769609000.0,0.174965,0.066666,15,15,12,0.8,0.366654,0.0016958721712852596,1.3987965521454484,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,116.0,105.0,11.0,6.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.18195928633213043,0.29371964931488037,0.0816686600446701,-0.4861987233161926,-0.3606939911842346,0.24192585051059723,0.7582760453224182
train,Angelina,Angelina_2_20260715_153046,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,1982169609000,1986836276000,1982169609000,1986836276000,4.666667,1986336276000,1986836276000,1986336276000,1986836276000,1986361307000.0,1986727974000.0,1986727974000.0,1986736276000.0,0.108302,0.0,12,12,12,1.0,0.366667,0.002047827565873149,1.1882228452310906,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,137.0,126.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.20224082469940186,0.29695433378219604,0.0679716020822525,-0.5195189714431763,-0.3928028345108032,0.20071011781692505,0.7317932844161987
train,Angelina,Angelina_3_20260715_153144,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,2037602942000,2042769609000,2037602942000,2042769609000,5.166667,2042269609000,2042769609000,2042269609000,2042769609000,2042294649000.0,2042661310000.0,2042661310000.0,2042669609000.0,0.108299,0.0,15,15,12,0.8,0.366661,0.0027599731481153253,1.0223467176136454,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,152.0,141.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",-0.2392650842666626,0.36225947737693787,0.09546485543251038,-0.4647441506385803,0.3820471465587616,-0.27236077189445496,0.7509143948554993
train,Angelina,Angelina_4_20260715_153241,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,2087536276000,2092969609000,2087536276000,2092969609000,5.433333,2092469609000,2092969609000,2092469609000,2092969609000,2092494643000.0,2092861318000.0,2092861318000.0,2092869609000.0,0.108291,0.0,12,12,12,1.0,0.366675,0.0023922497306359393,1.339397347054446,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,160.0,149.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",-0.2390652596950531,0.35925883054733276,0.11820141971111298,-0.47662729024887085,0.36835816502571106,-0.27749237418174744,0.7484228014945984
train,Angelina,Angelina_6_20260715_153440,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,2209236276000,2216602942000,2209236276000,2216602942000,7.366666,2216102942000,2216602942000,2216102942000,2216602942000,2216133399000.0,2216500258000.0,2216500258000.0,2216502942000.0,0.102684,0.0,15,15,12,0.8,0.366859,0.02393556515539567,6.387514979652871,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,218.0,207.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",-0.5469242334365845,0.5800917148590088,-0.04151502251625061,0.27711012959480286,-0.5168616771697998,-0.8061885833740234,0.07825564593076706
train,Angelina,Angelina_7_20260715_153539,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,rejected,False,insufficient_valid_samples;low_valid_ratio;insufficient_valid_span,0,left,2263036275000,2267902942000,2263036275000,2267902942000,4.866667,2267402942000,2267902942000,2267402942000,2267902942000,,,,,,0.0,13,13,0,0.0,0.0,,,,,,,,,,,,,,,,
train,Angelina,Angelina_8_20260715_153620,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,2307702942000,2316236275000,2307702942000,2316236275000,8.533333,2315736275000,2316236275000,2315736275000,2316236275000,2315761309000.0,2316127976000.0,2316127976000.0,2316136275000.0,0.108299,0.0,14,14,12,0.8571428571428571,0.366667,0.009007749458415515,2.5183287451996295,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,253.0,242.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",-0.5386302471160889,0.582534909248352,-0.04837656021118164,0.2592952847480774,-0.5495983362197876,-0.7924668788909912,0.051998239010572433
train,Angelina,Angelina_9_20260715_153718,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,0,left,2358436275000,2362669609000,2358436275000,2362669609000,4.233334,2362102942000,2362602942000,2362102942000,2362602942000,2362129850000.0,2362496416000.0,2362496416000.0,2362502942000.0,0.173193,0.066667,15,15,12,0.8,0.366566,0.002189663991017765,1.1356974455014626,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,122.0,111.0,11.0,6.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",-0.25828731060028076,0.3650053143501282,0.10921644419431686,-0.49493691325187683,0.3720482289791107,-0.24108755588531494,0.7473248243331909
train,Berat,Berat_10_20260616_142950,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,1074179011000,1080479011000,1074179011000,1080479011000,6.3,1079979011000,1080479011000,1079979011000,1080479011000,1080005160000.0,1080405050000.0,1080405050000.0,1080412344000.0,0.073961,0.0,15,15,13,0.8666666666666667,0.39989,0.0025832122722437025,0.8557632960754693,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,187.0,175.0,12.0,3.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.2952476441860199,0.28219538927078247,0.0016935702878981829,0.4348134398460388,0.4909338057041168,0.5139694213867188,0.5529527068138123
train,Berat,Berat_1_20260604_154611,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,2867378959000,2871545625000,2867378959000,2871545625000,4.166666,2871045625000,2871545625000,2871045625000,2871545625000,2871073349000.0,2871439915000.0,2871439915000.0,2871445625000.0,0.10571,0.0,15,15,12,0.8,0.366566,0.0069531333287190635,2.3991028319368457,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,122.0,111.0,11.0,4.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.21308191120624542,0.5887376070022583,0.13624466955661774,-0.2275158166885376,-0.19260556995868683,0.4300626218318939,0.8521653413772583
train,Berat,Berat_3_20260604_154928,terminal_endpose_unique_hand_capture_v2,hand_timestamp_ns,accepted,True,,1,right,3061278956000,3065945623000,3061278956000,3065945623000,4.666667,3064845623000,3065345623000,3064845623000,3065345623000,3064870649000.0,3065337328000.0,3065337328000.0,3065345623000.0,0.608295,0.6,15,15,15,1.0,0.466679,0.043639478140440426,11.89609453881796,latest unique valid physical hand capture used by the accepted robust aggregation,endpoint timestamp_ns < target_capture_timestamp_ns,122.0,108.0,14.0,19.0,"Endpoints inside the aggregation-capture interval are terminal-state estimation with partial target evidence, not fully pre-aggregation forecasting. Endpoints at or after the final target capture are masked.",0.1904609352350235,0.5397200584411621,0.15290877223014832,-0.26413843035697937,-0.1629052311182022,0.4673042595386505,0.827840268611908
